Last name;First name;ID;photoURL;group;position;country;party;telephone_1;telephone_2;email_1;address_brussels;address_strassbourg;tw_link;fb_link;ig_link;web_link;yt_link;li_link;D-ZA;D-MD;SEDE;ENVI;BUDG;D-CA;DNAT;AFET;SANT;D-BR;D-UA;CULT;D-RS;FISC;HOUS;DAFR;DCAB;DPAL;QUE;DSEE;ECON;REGI;DEVE;DMAG;DAND;CPDE;DACP;DSAS;PETI;D-AL;BCPR;D-IR;DCAR;CPCO;D-US;JURI;DASE;AFCO;D-CN;DEEA;D-MK;BURO;IMCO;DMED;ID;D-BY;D-AF;TRAN;D-IL;D-RU;EUDS;D-ME;FEMM;CONT;DKOR;DLAT;LIBE;D-IN;DMER;D-UK;D-JP;DROI;DARP;D-MX;PE;PECH;AGRI;ITRE;D-IQ;DPAP;DANZ;DPAC;DMAS;DEPA;DCAM;DCAS;DSCA;EMPL;D-TR;D-CL;INTA;find_me_URL
CIFROVÁ OSTRIHOŇOVÁ;Veronika;257014;https://www.europarl.europa.eu/mepphoto/257014.jpg;Renew Europe Group;Member;Slovakia;Progresívne Slovensko;0032 2 28 45266;0033 3 88 1 75266;veronika.ostrihonova@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 08G116, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. WINSTON CHURCHILL, M01090, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/veronikacifrova?s=21&t=ghjIPvI9G-7HJnuAj6ddVA;;https://www.instagram.com/veronikaostrihonova/;;;;;;;;;Substitute;;;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Substitute;;257014;;;;;;;;Substitute;;;;Member;;;Member;;;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/257014
CIRIANI;Alessandro;257147;https://www.europarl.europa.eu/mepphoto/257147.jpg;European Conservatives and Reformists Group;Member;Italy;FRATELLI D' ITALIA;0032 2 28 45441;0033 3 88 1 75441;alessandro.ciriani@europarl.europa.eu;Parlement européen, Bât. SOPHIE SCHOLL, 04U033, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. WINSTON CHURCHILL, M05041, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;;;;;;;;;;Member;;Substitute;;Substitute;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;;;257147;;;;;;;Substitute;;;;;Member;;;;;;;;;;;Substitute;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/257147
CISINT;Anna Maria;257131;https://www.europarl.europa.eu/mepphoto/257131.jpg;Patriots for Europe Group;Member;Italy;Lega;0032 2 28 45569;0033 3 88 1 75569;anna.cisint@europarl.europa.eu;Parlement européen, Bât. WILLY BRANDT, 04M035, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T03073, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/annacisint?mx=2;https://www.facebook.com/cisintanna/;https://www.instagram.com/annacisint/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;257131;;;Member;;;;;Substitute;;;;Substitute;;;;;;;;;Substitute;;;;;;;;;Member;;;;;;;https://www.europarl.europa.eu/meps/en/257131
CLAUSEN;Per;257023;https://www.europarl.europa.eu/mepphoto/257023.jpg;The Left group in the European Parliament - GUE/NGL;Member of the Bureau;Denmark;Enhedslisten;0032 2 28 45660;0033 3 88 1 75660;per.clausen@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 07H242, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G01028, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;;;;;;;;;;257023;Member;;;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;Member;;;;Member;Substitute;;;https://www.europarl.europa.eu/meps/en/257023
CLERGEAU;Christophe;245018;https://www.europarl.europa.eu/mepphoto/245018.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Vice-Chair;France;Parti socialiste;0032 2 28 45170;0033 3 88 1 75170;christophe.clergeau@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 11G116, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T05149, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/clergeau;https://www.facebook.com/clergeau;https://www.instagram.com/christophe.clergeau.ue/;;;https://www.linkedin.com/in/clergeau;;;;Member;;;;;Member;;;;;;;Vice-Chair;;;;;;;Substitute;;;;Vice-Chair;;;;;;;;;;;;;;;;;;245018;;;;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/245018
CORMAND;David;197503;https://www.europarl.europa.eu/mepphoto/197503.jpg;Group of the Greens/European Free Alliance;Member;France;Les Écologistes;0032 2 28 45368;0033 3 88 1 75368;david.cormand@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 06E240, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G05026, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/DavidCormand;https://www.facebook.com/david.cormand;;https://www.davidcormand.fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vice-Chair;;Substitute;Substitute;;;;;;;Member;;197503;;;;;;;;;;Member;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/197503
CORRADO;Annalisa;257169;https://www.europarl.europa.eu/mepphoto/257169.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Italy;Partito Democratico;0032 2 28 45393;0033 3 88 1 75393;annalisa.corrado@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 15G209, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T06153, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;Member;;;;;;;;;;;;Substitute;;Member;;;;;;;;;Substitute;;Substitute;;;;;;;;;;;;;;;Member;257169;;;;;;;;;;;Substitute;;;;;;;;;;;Substitute;Substitute;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/257169
COSTANZO;Vivien;256937;https://www.europarl.europa.eu/mepphoto/256937.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Germany;Sozialdemokratische Partei Deutschlands;0032 2 28 45413;0033 3 88 1 75413;vivien.costanzo@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 12G218, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T07033, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;256937;;;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Substitute;Member;;;https://www.europarl.europa.eu/meps/en/256937
COTRIM DE FIGUEIREDO;João;257057;https://www.europarl.europa.eu/mepphoto/257057.jpg;Renew Europe Group;Member of the Bureau;Portugal;Iniciativa Liberal;0032 2 28 45275;0033 3 88 1 75275;joao.cotrim@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 10G165, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. WINSTON CHURCHILL, M02110, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;257057;;;;;;;;;;;;;;;;;;;;;;;Member;;;;;;;;;;;;;Substitute;https://www.europarl.europa.eu/meps/en/257057
COWEN;Barry;257297;https://www.europarl.europa.eu/mepphoto/257297.jpg;Renew Europe Group;Member;Ireland;Fianna Fáil Party;0032 2 28 45291;0033 3 88 1 75291;barry.cowen@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 10G116, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. WINSTON CHURCHILL, M02071, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;Substitute;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;257297;;;;;;;;;;;;;;;;;;;;;;Member;;;;Member;;;;;;;;;;Substitute;https://www.europarl.europa.eu/meps/en/257297
CREMER;Tobias;256938;https://www.europarl.europa.eu/mepphoto/256938.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Germany;Sozialdemokratische Partei Deutschlands;0032 2 28 45423;0033 3 88 1 75423;tobias.cremer@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 12G115, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T07008, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;Member;;;;Member;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;Member;;;;;;;;;;256938;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/256938
CRESPO DÍAZ;Carmen;257034;https://www.europarl.europa.eu/mepphoto/257034.jpg;Group of the European People's Party (Christian Democrats);Member;Spain;Partido Popular;0032 2 28 45241;0033 3 88 1 75241;mariacarmen.crespodiaz@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 10E254, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T12010, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/carmencrespopp;;https://www.instagram.com/carmencrespo.diaz/;;;;;;;Substitute;;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;;Member;;;;;;;;;;;257034;;;;;;;;;;;;;;;;;;;;;Chair;Member;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/257034
CRISTEA;Andi;40224;https://www.europarl.europa.eu/mepphoto/40224.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Romania;Partidul Social Democrat;0032 2 28 45677;0033 3 88 1 75677;andi.cristea@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 13G258, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T05036, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;http://www.instagram.com/andicristea.ro/;;;;;;;;;;;;;;;;;;;;;;;;;Member;;;;;;;Substitute;;;;;;;;;;;;;;;;40224;;;;;;;Substitute;;;;;;;;Member;;;;;;;;;;;;;;;;;;Substitute;;;Member;https://www.europarl.europa.eu/meps/en/40224
CROSETTO;Giovanni;257094;https://www.europarl.europa.eu/mepphoto/257094.jpg;European Conservatives and Reformists Group;Member;Italy;FRATELLI D' ITALIA;0032 2 28 45465;0033 3 88 1 75465;giovanni.crosetto@europarl.europa.eu;Parlement européen, Bât. SOPHIE SCHOLL, 04U026, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. WINSTON CHURCHILL, M05053, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;;;;;;;;Member;257094;;;;;;;;;;;;;;;;;;;Substitute;;;;Member;;Substitute;;;Member;;;;;;;;;https://www.europarl.europa.eu/meps/en/257094
CUNHA;Paulo;257078;https://www.europarl.europa.eu/mepphoto/257078.jpg;Group of the European People's Party (Christian Democrats);Member;Portugal;Partido Social Democrata;0032 2 28 45248;0033 3 88 1 75248;pauloalexandre.matoscunha@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 08E136, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T09086, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/PauloCunhaVNF;https://www.facebook.com/paulocunha.famalicao;https://www.instagram.com/paulomatoscunha/;;;https://www.linkedin.com/in/paulo-cunha-1177a1227/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;257078;;;;;;;Substitute;;Substitute;;;Member;;;;;;;;;;;Substitute;;;;;;;Substitute;;;;;;;https://www.europarl.europa.eu/meps/en/257078
DAHL;Henrik;257028;https://www.europarl.europa.eu/mepphoto/257028.jpg;Group of the European People's Party (Christian Democrats);Member;Denmark;Liberal Alliance;0032 2 28 45259;0033 3 88 1 75259;henrik.dahl@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 08E254, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T08073, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/sociologenhd;;https://www.instagram.com/denhenrikdahl/;;;;Substitute;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;Member;;257028;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;;;Member;;;;https://www.europarl.europa.eu/meps/en/257028
DANIELSSON;Johan;38542;https://www.europarl.europa.eu/mepphoto/38542.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Sweden;Arbetarepartiet- Socialdemokraterna;0032 2 28 45433;0033 3 88 1 75433;johan.danielsson@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 12G209, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T05014, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;https://www.facebook.com/johandanielssons;https://www.instagram.com/johandanielsson_s/;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;;;;;Substitute;;;;Member;;;;Substitute;;38542;;;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vice-Chair;;;;https://www.europarl.europa.eu/meps/en/38542
DAUCHY;Marie;236050;https://www.europarl.europa.eu/mepphoto/236050.jpg;Patriots for Europe Group;Member;France;Rassemblement national;0032 2 28 45501;0033 3 88 1 75501;marie.dauchy@europarl.europa.eu;Parlement européen, Bât. WILLY BRANDT, 06M081, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G07026, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;;236050;;;;;;;;;;;;;Member;;;;;;;;;Substitute;;;;;;;;;;;Member;;;;https://www.europarl.europa.eu/meps/en/236050
DÁVID;Dóra;256862;https://www.europarl.europa.eu/mepphoto/256862.jpg;Group of the European People's Party (Christian Democrats);Member;Hungary;Tisztelet és Szabadság Párt;0032 2 28 45263;0033 3 88 1 75263;dora.david@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 12E146, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T08005, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;https://www.instagram.com/doradavidmep/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;Substitute;;;Member;;;Member;;256862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/256862
DAVID;Ivan;197556;https://www.europarl.europa.eu/mepphoto/197556.jpg;Europe of Sovereign Nations Group;Member;Czechia;Svoboda a přímá demokracie;0032 2 28 45712;0033 3 88 1 75712;ivan.david@europarl.europa.eu;Parlement européen, Bât. WILLY BRANDT, 02M057, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G00034, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;Substitute;;;;;Substitute;;;;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;197556;;;;;Substitute;;;;;;;;;;;;;;;;;Member;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/197556
DECARO;Antonio;257122;https://www.europarl.europa.eu/mepphoto/257122.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Italy;Partito Democratico;0032 2 28 45436;0033 3 88 1 75436;antonio.decaro@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 15G306, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T12038, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;Chair;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;Member;;;;Member;;;;;Substitute;;;;;Member;257122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/257122
DE LA HOZ QUINTANO;Raúl;257030;https://www.europarl.europa.eu/mepphoto/257030.jpg;Group of the European People's Party (Christian Democrats);Member;Spain;Partido Popular;0032 2 28 45264;0033 3 88 1 75264;raul.delahoz@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 10E242, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T10145, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/raulhoz?s=11;https://www.facebook.com/raulhozquintano;https://www.instagram.com/raulhozquintano?igsh=MWh6dm8yYTVoMHVlZQ==;;;;;;;Substitute;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;;;;;;;;257030;;;;;;;;;;;Member;;;;;;;;;;;;Member;;;;;;;Substitute;;;Substitute;;;;https://www.europarl.europa.eu/meps/en/257030
DELLA VALLE;Danilo;257155;https://www.europarl.europa.eu/mepphoto/257155.jpg;The Left group in the European Parliament - GUE/NGL;Member;Italy;Movimento 5 Stelle;0032 2 28 45374;0033 3 88 1 75374;danilo.dellavalle@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 01H354, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G02013, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/dani_dellavalle?s=21&t=v9yqxU-VlZX98bNKKUToPQ;https://www.facebook.com/DaniloDellaValleM5S;https://www.instagram.com/danilo_della_valle?igsh=MTU5MzlmbDVlYXU1cw==;;;;;;;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;257155;;;;;Member;Member;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;;;;Substitute;https://www.europarl.europa.eu/meps/en/257155
DELOGE;Valérie;256886;https://www.europarl.europa.eu/mepphoto/256886.jpg;Patriots for Europe Group;Member;France;Rassemblement national;0032 2 28 45584;0033 3 88 1 75584;valerie.deloge@europarl.europa.eu;Parlement européen, Bât. WILLY BRANDT, 05M081, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G07015, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/ValerieDeloge;https://www.facebook.com/ValerieDelogeRN;https://www.instagram.com/valerie.deloge/;https://valeriedeloge.fr/;https://www.youtube.com/@Val%C3%A9rieDelogeRN;;;;;Substitute;;;;;Substitute;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;256886;;;;;;;;;;;;;;Substitute;;;;;;;;Member;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/256886
DE MASI;Fabio;124858;https://www.europarl.europa.eu/mepphoto/124858.jpg;Non-attached Members;Member;Germany;Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit;0032 2 28 45544;0033 3 88 1 75544;fabio.demasi@europarl.europa.eu;Parlement européen, Bât. STEFAN ZWEIG, 03K037, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. WINSTON CHURCHILL, M01032, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/Fabiodemasi;https://www.facebook.com/fabio.d.masi;https://www.instagram.com/fabio.d.masi/;https://www.fabio-de-masi.de/;;;Member;;;;;;;;;;;;;Substitute;;;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;;124858;;;;;;;;;;;;;;;;;;;;;;;;;Member;;;;;;;;;;;Substitute;https://www.europarl.europa.eu/meps/en/124858
DE MEO;Salvatore;204333;https://www.europarl.europa.eu/mepphoto/204333.jpg;Group of the European People's Party (Christian Democrats);Member;Italy;Forza Italia;0032 2 28 45253;0033 3 88 1 75253;salvatore.demeo@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 11E254, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T09040, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/salv_de_meo;https://www.facebook.com/DeMeoSalvatore/;https://www.instagram.com/salvatore_de_meo_/;https://www.salvatoredemeo.eu/;https://www.youtube.com/channel/UC-lBMINXCyHGmg-oeptgkaQ;https://www.linkedin.com/in/salvatore-de-meo-22828812b;;;Member;;;;Chair;;;;;;;;;;;;;;;;;;;Member;;Member;;;;;;;;;;Member;;;;;Substitute;;204333;;;;;;;;;;;;;;;;;;;;;;Member;;;;Substitute;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/204333
DEMIREL;Özlem;197468;https://www.europarl.europa.eu/mepphoto/197468.jpg;The Left group in the European Parliament - GUE/NGL;Member of the Bureau;Germany;DIE LINKE.;0032 2 28 45589;0033 3 88 1 75589;oezlem.demirel@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 08H153, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G02037, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/oezlemademirel;https://www.facebook.com/oezlemalevdemirel;https://www.instagram.com/oezlemalevdemirel/?hl=de;https://oezlem-alev-demirel.de/;;;;;Member;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;197468;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;;;;;;Substitute;Member;;;https://www.europarl.europa.eu/meps/en/197468
DEUTSCH;Tamás;96826;https://www.europarl.europa.eu/mepphoto/96826.jpg;Patriots for Europe Group;Member of the Bureau;Hungary;Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt;0032 2 28 45156;0033 3 88 1 75156;tamas.deutsch@europarl.europa.eu;Parlement européen, Bât. WILLY BRANDT, 03M045, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T03027, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/dajcstomi;https://facebook.com/people/Deutsch-Tamás/100000694338124;https://www.instagram.com/dajcstomi/;http://deutsch.fidesz-eu.hu/;;;;;;;Member;;;;;;;;;;;;;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;96826;;;;Substitute;;;;;Member;;;;;;;Member;;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/96826
DEVAUX;Valérie;256870;https://www.europarl.europa.eu/mepphoto/256870.jpg;Renew Europe Group;Member;France;Union des démocrates et indépendants;0032 2 28 45297;0033 3 88 1 75297;valerie.devaux@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 08G217, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. WINSTON CHURCHILL, M02009, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;256870;;;Member;;;;;Member;;;Member;;;;;;;;;;;;;;;;;;;Member;;;Substitute;;Substitute;;https://www.europarl.europa.eu/meps/en/256870
DIBRANI;Adnan;257087;https://www.europarl.europa.eu/mepphoto/257087.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Sweden;Arbetarepartiet- Socialdemokraterna;0032 2 28 45454;0033 3 88 1 75454;adnan.dibrani@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 12G253, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T05033, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;Substitute;Substitute;;;;;;;;;Member;;;;;;;;;;;;;Member;;257087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Substitute;;;https://www.europarl.europa.eu/meps/en/257087
DIEPEVEEN;Ton;256981;https://www.europarl.europa.eu/mepphoto/256981.jpg;Patriots for Europe Group;Member;Netherlands;Partij voor de Vrijheid;0032 2 28 45587;0033 3 88 1 75587;ton.diepeveen@europarl.europa.eu;Parlement européen, Bât. WILLY BRANDT, 07M115, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T03031, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;;;;;;;;;;;;Member;;;;;;;;;256981;;;;;;;;;;;;;;;Member;;;;;;Member;Substitute;;;;;;;;;Substitute;;;;;;https://www.europarl.europa.eu/meps/en/256981
DIERINGER;Elisabeth;256834;https://www.europarl.europa.eu/mepphoto/256834.jpg;Patriots for Europe Group;Member;Austria;Freiheitliche Partei Österreichs;0032 2 28 45949;0033 3 88 1 75949;elisabeth.dieringer-granza@europarl.europa.eu;Parlement européen, Bât. WILLY BRANDT, 07M071, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T03087, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;https://www.facebook.com/p/Elisabeth-Dieringer-Granza-100058204022862/;https://www.instagram.com/elisabeth_dieringer_granza/;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Member;;Member;;256834;;;;;;;;Member;;;;;;;Substitute;;;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/256834
